Company;Year;pos;neg;unc;SR;NFE;ISIN;Date_SRNFE;Date_AR;report_size_SRNFE;report_sentence_SRNFE;report_words_SRNFE;is_gri;report_size_AR;report_sentence_AR;report_words_AR;pfad
a.s. creation tapeten ag;2019;0;0;0;1;1;fehlt;2020-03-13;fehlt;1;2;1;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\A.S. Creation Tapeten AG2019_NFB.pdf
a.s. creation tapeten ag;2020;40;17;10;1;1;fehlt;2021-03-10;fehlt;9;813;2994;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\A.S. Creation Tapeten AG2020_NFB.pdf
allgeier se;2020;174;90;57;1;0;fehlt;2020-06-20;fehlt;19;1080;12210;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\ALLGEIER SE2020_SR.pdf
berentzen-gruppe ag;2019;193;107;85;1;0;fehlt;2020-03-25;fehlt;62;4008;17448;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Berentzen-Gruppe AG2019_SR.pdf
berentzen-gruppe ag;2020;206;135;95;1;0;fehlt;2021-03-24;fehlt;68;4746;20352;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Berentzen-Gruppe AG2020_SR.pdf
dermapharm holding se;2019;70;37;17;1;0;fehlt;2020-04-02;2021-04-26;27;922;7510;0;27;1299;11068;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Dermapharm Holding SE2019_SR.pdf
dermapharm holding se;2020;104;64;37;1;0;fehlt;2021-04-26;2021-04-26;34;1370;11068;1;34;1299;11068;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Dermapharm Holding SE2020_SR.pdf
edag engineering group;2019;53;46;32;1;0;DE0006578008;2020-05-29;fehlt;32;676;6506;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\EDAG Engineering Group2019_SR.pdf
edag engineering group;2020;94;62;37;1;0;DE0006578008;2021-04-15;fehlt;34;924;9109;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\EDAG Engineering Group2020_SR.pdf
flatexdegiro ag;2020;102;35;24;1;1;fehlt;2021-03-26;fehlt;42;700;8421;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Flatexdegiro AG2020_NFB.pdf
frequentis ag;2019;86;79;40;1;1;fehlt;2020-04-01;fehlt;37;1194;10708;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Frequentis AG2019_NFB.pdf
frequentis ag;2020;123;122;57;1;1;fehlt;2021-04-05;fehlt;48;1589;14954;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Frequentis AG2020_NFB.pdf
h+r kgaa;2019;64;53;59;1;1;fehlt;2020-04-07;fehlt;21;654;6514;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\H+R KGAA2019_NFB.pdf
h+r kgaa;2020;154;114;125;1;0;fehlt;2021-04-20;fehlt;58;1282;13622;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\H+R KGAA2020_SR.pdf
hapag-lloyd ag;2020;223;262;134;1;0;fehlt;2021-07-05;fehlt;104;3610;35245;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\HAPAG-LLOYD AG 2020_SR.pdf
hapag-lloyd ag;2019;372;248;172;1;0;fehlt;2020-04-08;fehlt;119;4050;41257;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\HAPAG-LLOYD AG2019_SR.pdf
hellofresh se;2019;119;58;43;1;0;fehlt;2020-04-27;fehlt;28;742;9708;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\HELLOFRESH SE2019_SR.pdf
hellofresh se;2020;226;119;76;1;0;fehlt;2021-03-17;fehlt;38;1450;14717;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\HELLOFRESH SE2020_SR.pdf
hensoldt ag;2020;140;107;58;1;0;fehlt;fehlt;fehlt;36;3386;13131;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\HENSOLDT AG2020_SR.pdf
hypoport se;2019;10;41;14;1;1;DE0005493365;2020-03-23;fehlt;12;213;2208;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Hypoport SE2019_NFB.pdf
hypoport se;2020;12;40;17;1;1;DE0005493365;2021-03-16;fehlt;13;235;2469;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Hypoport SE2020_NFB.pdf
jost werke ag;2020;126;106;65;1;0;fehlt;2021-03-24;fehlt;25;1617;13965;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Jost Werke AG2020_SR.pdf
knorr-bremse ag;2019;270;133;82;1;0;fehlt;2020-04-16;fehlt;82;3035;33781;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Knorr-Bremse AG2019_SR.pdf
knorr-bremse ag;2020;289;193;105;1;0;fehlt;2021-03-30;fehlt;90;3168;35181;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\Knorr-Bremse AG2020_SR.pdf
logwin ag;2019;23;44;16;1;0;fehlt;2019-03-01;fehlt;17;753;3716;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\LOGWIN AG2019_SR.pdf
logwin ag;2020;19;46;21;1;0;fehlt;2020-02-25;fehlt;20;857;4073;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\LOGWIN AG2020_SR.pdf
medios ag;2020;35;46;43;1;1;fehlt;2021-03-29;fehlt;13;581;4465;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\MEDIOS AG2020_NFB.pdf
